TABLENAME;FIELDNAME;VALKEY;VALUE;DESCRIPTION;AUTH
T_PARENT_CODE;TILE_TYPE;0;;true;User
T_PARENT_CODE;TILE_TYPE;1;Certification;false;User
T_PARENT_CODE;TILE_TYPE;2;SAP Learning Room;false;User
T_PARENT_CODE;TILE_TYPE;4;openSAP;false;User
T_PARENT_CODE;TILE_TYPE;8;Course;false;User
T_PARENT_CODE;TILE_TYPE;16;Stay Current;false;User
T_PARENT_CODE;TILE_TYPE;32;Note;false;User
T_PARENT_CODE;TILE_TYPE;64;Other;false;User
T_PARENT_CODE;TILE_TYPE;128;Badge;false;User
T_PARENT_CODE;TILE_TYPE;256;Stay Certify;false;User
T_PARENT_CODE;CERTIFICATION_LEVEL;0;;true;User
T_PARENT_CODE;CERTIFICATION_LEVEL;1;Associate;false;User
T_PARENT_CODE;CERTIFICATION_LEVEL;2;Expert;false;User
T_PARENT_CODE;CERTIFICATION_LEVEL;3;Professional;false;User

